,product_id,all_tags,tag_len
33,1002465319,"['골지', '쫄', '바지', '골지', '내복', '그레이', '골지', '쫄', '차콜', '골지', '쫄', '블랙', '골지', '쫄', '레깅스', '골지', '여자', '골지', '레깅스', '여성', '골지', '레깅스', '쫀쫀', '골지', '레깅스', '캐', '쥬얼']",27
34,2268306482,"['기모', '치마', '레깅스', '치마', '레깅스', '스웨이드', '치마', '레깅스', '치랭', '레깅스']",10
35,2217375981,"['빅사', '이즈', '여성', '의류', '빅사', '이즈', '레깅스', '부츠', '컷', '레깅스', '편안한', '스타일', '멋', '캐', '쥬얼', '신축', '좋', '텐션', '좋', '쫀쫀', '레깅스', '밑위', '바지', '나팔', '레깅스', '팬츠']",26
36,2571013802,"['스포츠', '레깅스', '져지', '레깅스', '랍바', '레깅스', '여자', '레깅스', '봄', '레깅스', '스판', '레깅스', '줄', '레깅스', '운동', '레깅스', '부', '레깅스', '레깅스', '팬츠']",20
37,2748403906,"['스판', '레깅스', '기능', '레깅스', '운동', '레깅스', '스포츠', '레깅스', '라인', '레깅스', '줄', '레깅스', '랍바', '레깅스', '얇은', '레깅스', '봄', '레깅스', '여름', '레깅스']",20
38,2538906284,"['텐셀', '레깅스', '텐셀바', '쫄바', '쫄바', '부', '기본', '레깅스', '스타일', '밴딩', '레깅스', '텐셀속바', '컬러', '밴딩', '봄', '레깅스', '텐셀쫄바']",17
39,2558742193,"['여자', '레깅스', '여성', '레깅스', '스트라이프', '레깅스', '배색', '레깅스', '테이', '핑', '레깅스', '줄', '레깅스', '하이', '웨스트', '레깅스', '옆선', '레깅스', '봄', '레깅스', '레깅스', '바지']",22
40,2166341226,"['여자', '레깅스', '레깅스', '코디', '레깅스', '쫄', '바지', '레깅스', '데', '일리', '레깅스', '니트', '레깅스', '줄', '레깅스', '시', '보리', '레깅스', '면', '레깅스', '배색', '레깅스']",22
41,1002958652,"['기본', '레깅스', '무지', '레깅스', '피치', '레깅스', '여성', '레깅스']",8
42,2253175106,"['기모', '레깅스', '골지', '레깅스', '배색', '레깅스', '하이', '웨스트', '레깅스', '레깅스', '팬츠', '라인', '레깅스', '겨울', '레깅스', '가을', '레깅스', '레깅스', '트레이닝복', '투톤', '레깅스']",21
43,2254147955,"['빅사', '이즈', '레깅스', '키', '여자', '레깅스', '밑위', '레깅스', '사이즈', '레깅스', '사이즈', '레깅스', '기모', '레깅스', '골지', '레깅스', '빅사', '이즈', '골지', '레깅스', '빅사', '이즈', '기모', '레깅스', '기모', '골지', '레깅스']",27
44,2293896702,"['네오', '플랜', '스커트', '치', '랭스', '치마', '레깅스', '센스', '있는', '유니크', '센스', '만점', '프렌치', '시크', '겨울', '레깅스', '어디', '코디', '가능한', '데', '일리', '레깅스']",22
45,2306258429,"['겨울', '레깅스', '여자', '레깅스', '스트라이프', '레깅스', '단가', '레깅스', '배색', '레깅스', '옆선', '레깅스', '삥줄', '레깅스', '롱', '레깅스', '피치', '기모', '레깅스', '면', '레깅스']",21
46,2150198096,"['배색', '레깅스', '부', '레깅스', '배색', '팬츠', '레깅스', '팬츠', '레깅스', '바지', '골지', '레깅스', '트레이닝', '바지', '여자', '트레이닝', '기모', '레깅스', '겨울', '레깅스']",20
47,2312543775,"['겨울', '레깅스', '핀턱', '팬츠', '짱', '날씬', '한코', '디', '따뜻한', '캐', '주얼', '무드', '코디', '좋', '데', '일리', '날씬', '코디', '캐', '쥬얼', '디자인']",21
48,2218668272,"['대여', '대여', '대여', '캐', '쥬얼', '넉넉한', '가죽', '레깅스', '가죽', '레깅스', '코디', '베이직', '코디', '남심', '저격', '빈티지룩']",16
49,2198663802,"['데', '일리', '맘스', '레깅스', '팬츠', '쫀쫀', '텐션', '감', '좋', '제깅스', '부츠', '컷', '스키', '편안한', '스타일', '매일']",16
50,2005767019,"['부', '레깅스', '인견', '레깅스', '쿨', '레깅스', '여름', '레깅스', '부쫄바', '여름', '쫄', '바지', '시원한', '레깅스', '기본', '레깅스', '여자', '레깅스', '여자', '레깅스', '코디']",21
51,2179412029,"['여자', '레깅스', '가을', '레깅스', '레터', '링', '레깅스', '레깅스', '코디', '가을', '신상', '런닝', '레깅스', '운동', '레깅스', '여자', '바지']",17
52,1002287964,"['기본', '레깅스', '핀탁', '레깅스', '기모', '레깅스', '레깅스', '패션', '겨울', '신상', '겨울', '레깅스', '레깅스', '쫄', '바지', '일상패션', '대학생', '패션']",18
53,2523455743,"['빅사', '이즈', '쇼핑몰', '빅사', '이즈', '레깅스', '미시', '젊', '줌마', '여자', '코디', '통통', '걸', '대여', '날씬녀', '나들이', '코디', '오늘', '패션']",19
54,1002094061,"['쫀쫀', '레깅스', '가죽', '레깅스', '가을', '레깅스', '일상패션', '내추럴', '레더', '레깅스', '기본', '레깅스']",12
55,2325744544,"['데', '일리', '레깅스', '가죽', '레깅스', '팬츠', '융', '레깅스', '시크', '무드', '섹시', '레깅스', '코디', '쉬운', '활용', '높은', '쫀쫀', '레깅스', '걸', '크러쉬', '빅사', '이즈', '레깅스']",23
56,2074463390,"['요가', '팬츠', '요가', '바지', '운동', '바지', '운동', '팬츠', '운동', '레깅스', '와이드', '레깅스', '나팔', '레깅스', '편안한', '레깅스', '데', '일리', '레깅스', '데', '일리', '팬츠']",22
57,1002047449,"['깔끔한', '내추럴', '레이어', '드', '세련된', '빈티']",6
58,1002234374,"['단가', '레깅스', '스판', '레깅스', '부', '레깅스', '스트라이프', '레깅스', '배색', '레깅스', '기모', '레깅스', '겨울', '레깅스', '클로슈', '레깅스', '팬츠', '여성', '레깅스']",19
59,2293357092,"['캐', '쥬얼', '복', '데일', '리코', '디', '귀여운', '스타일', '포인트', '코디', '여성', '유니크', '스타일', '모던', '유니크', '감성']",16
60,2341545076,[],0
61,2304355847,"['내추럴', '대학생', '패션', '레이어', '드', '글램핑', '다양한', '연출']",8
62,2335177466,"['골지', '레깅스', '왕골', '레깅스', '데', '일리', '레깅스', '여성', '레깅스', '레깅스', '레깅스', '팬츠', '겨울', '레깅스', '쫀쫀', '레깅스', '면', '레깅스']",18
63,2340334278,"['피치', '레깅스', '홈웨어', '레깅스', '마', '실룩', '레깅스', '코티', '기모', '레깅스', '부', '레깅스', '겨울', '레깅스', '여자', '레깅스', '데일', '리코', '디', '아이템', '활용', '높은']",22
64,1001124785,"['깔끔한', '레이어', '드', '여성', '단정', '일상패션']",6
65,2292352037,"['짱', '레깅스', '레깅스', '여자', '겨울', '레깅스', '블랙', '레깅스', '밍크', '레깅스', '밍크', '안감', '레깅스', '골지', '레깅스', '겨울', '골지', '레깅스', '밍크', '골지', '레깅스', '여자', '레깅스']",23
66,2292306446,"['여자', '레깅스', '겨울', '레깅스', '데', '일리', '레깅스', '짱', '레깅스', '레깅스', '밑위', '레깅스', '여자', '겨울', '레깅스', '블랙', '레깅스', '밍크', '레깅스', '밍크', '안감', '레깅스']",22
67,2319016876,"['기모', '레깅스', '레', '레깅스', '겨울', '레깅스', '사이즈', '있는', '레깅스', '따뜻한', '레깅스']",11
68,1002414772,"['기본', '레깅스', '피치', '레깅스', '기모', '레깅스', '겨울', '레깅스', '봄', '레깅스']",10
69,2221851471,"['귀여운', '나들이', '뉴욕', '스타일', '고급스러운', '꾸러기', '패션']",7
70,1003363195,"['미니', '멀', '스포', '티', '스키', '신축', '좋', '일상패션']",8
71,2215700549,"['밍크', '융털', '부', '레깅스', '유발', '레깅스', '겨울', '레깅스', '밍크', '레깅스', '두꺼운', '레깅스', '부드러운', '레깅스', '신축', '레깅스', '빅사', '이즈', '레깅스', '스타킹', '레깅스']",21
72,1002582897,"['앞', '가죽', '레깅스', '가죽', '레깅스', '가죽', '레깅스', '팬츠', '레깅스', '팬츠', '기모', '레깅스', '겨울', '레깅스', '레깅스', '클로슈', '캐', '쥬얼', '융', '레깅스']",20
73,1002225941,"['깔끔한', '러블리', '레이어', '드', '스포', '티', '다양한', '연출']",8
74,2208111752,"['기모', '레깅스', '신상', '쫀쫀', '레깅스', '기본', '레깅스', '캐', '주얼', '편안한', '룩', '레깅스', '코디']",13
75,2170151406,"['배색', '레깅스', '기본', '레깅스', '여자', '레깅스', '가을', '레깅스', '발목', '레깅스', '밴딩', '레깅스', '사이즈', '레깅스', '사이즈', '레깅스', '신축', '좋', '레깅스']",19
76,2407871988,"['기모', '레깅스', '밍크', '레깅스', '여자', '기모', '바지', '레깅스', '팬츠', '제깅스', '융털', '레깅스', '밍크', '기모', '레깅스', '피치', '기모', '레깅스', '스판', '레깅스', '트레이닝', '레깅스']",22
77,1002511449,"['깔끔한', '내추럴', '세련된', '고급스러운', '슬림']",5
78,2376366706,"['기모', '레깅스', '여자', '레깅스', '겨울', '레깅스', '여자', '기모', '레깅스', '여자', '레깅스', '추천', '쫀쫀', '레깅스', '피치', '기모', '레깅스']",17
79,2305741012,[],0
80,2364479295,"['겨울', '레깅스', '부', '레깅스', '레깅스', '코디', '기모', '레깅스', '밍크', '레깅스', '여자', '레깅스', '대가', '좋아하는', '편안', '한코', '디', '데일', '리코', '디', '캐', '쥬얼']",22
81,1002983227,"['면', '레깅스', '여자', '레깅스', '레깅스', '쇼핑몰', '레깅스', '전문', '무발', '레깅스', '봄', '레깅스', '가을', '레깅스', '발목', '레깅스', '면스판', '레깅스', '스판', '레깅스']",20
82,2161998948,"['레깅스', '바지', '레깅스', '코디', '레깅스', '쫄', '바지', '레깅스', '트레이닝복', '레깅스', '레깅스', '부', '레깅스', '팬츠', '면', '레깅스', '줄', '레깅스', '삥줄', '레깅스']",20
83,1002456772,"['레이어', '드', '사랑스러운', '스포', '티', '슬림']",6
84,2135223105,"['운동복', '레깅스', '레깅스', '여자', '레깅스', '부', '스타일', '레깅스', '레깅스', '치렝스', '치마', '레깅스', '스커트', '레깅스', '타이트', '간편', '한코', '디']",18
85,1002594778,"['클로슈', '캐', '쥬얼', '홈웨어', '레깅스', '기모', '레깅스', '스판', '레깅스', '부', '레깅스', '레깅스', '팬츠', '라인', '레깅스', '겨울', '레깅스', '레깅스', '코디']",19
86,2158719909,"['데', '일리', '레깅스', '스타킹', '레깅스', '보정', '레깅스', '가을', '레깅스', '간편', '한코', '디', '편하게', '데일', '리코', '디', '활용', '높은', '이지', '캐', '주얼', '오늘', '코디']",23
87,2167772249,"['귀여운', '페미', '닌', '골지', '레깅스', '쫀쫀', '레깅스', '레이어', '드', '베이직', '쫄', '바지', '레깅스', '내추럴', '리즘', '롱', '티코', '디', '레깅스', '여자']",20
88,1002376414,"['스타일', '윈도', '스타일', '윈도우', '가죽', '레깅스', '겨울', '레깅스', '레', '레깅스', '스판', '레깅스']",12
89,2267748336,"['여성', '레깅스', '여자', '레깅스', '쫀쫀', '레깅스', '레깅스', '핏감', '좋', '레깅스', '기모', '레깅스', '여자', '기모', '레깅스', '나팔', '레깅스', '간절', '기', '레깅스', '겨울', '레깅스']",22
90,2172545481,"['여성', '레깅스', '여자', '레깅스', '레깅스', '코디', '쫀쫀', '레깅스', '데', '일리', '레깅스', '데', '일리', '스타일', '가을', '코디', '캐', '주얼', '코디', '대여']",20
91,2149108442,"['패션', '레깅스', '레깅스', '팬츠', '스판', '레깅스', '면', '레깅스', '여자', '레깅스', '요가', '레깅스', '운동복', '레깅스', '소재', '좋', '짱', '레깅스', '여성', '레깅스']",20
92,2196184803,"['줄', '레깅스', '스포', '티', '데일', '리코', '디', '레깅스', '코디']",9
93,1002287816,"['치렝스', '치마', '레깅스', '라인', '치마', '레깅스', '네오프렌', '레깅스', '블랙', '레깅스', '네오프렌', '치마', '따뜻한', '레깅스', '데', '일리', '레깅스']",17
94,1001832833,"['면', '레깅스', '부', '레깅스', '가을', '레깅스', '레터', '링', '레깅스']",9
95,2448910074,"['일리', '데', '일리', '레깅스', '베이직', '짱', '심플', '스타일', '코디', '좋', '유니크', '패션']",12
96,2283547548,[],0
97,2781762093,"['데', '일리', '레깅스', '쿨', '레깅스', '슬림', '레깅스', '레이어', '드코디', '활용', '높은', '데', '일리', '스타일', '어디', '매일', '날씬', '쫄바']",18
98,1001876242,"['골지', '레깅스', '왕골', '레깅스', '가을', '레깅스', '스타일', '윈도', '레이어', '드', '가을', '바지', '겨울', '레깅스', '레깅스', '코디', '레깅스', '바지']",18
99,2253738580,[],0
100,2812580117,"['여자', '레깅스', '팬츠', '밴딩', '팬츠', '허리', '밴딩', '레깅스', '나팔', '레깅스', '나팔', '레깅스', '팬츠', '부츠', '컷', '레깅스', '밴딩', '부츠', '컷', '바지', '밴딩', '레깅스', '여자', '레깅스', '코디', '홈웨어', '레깅스']",27
101,2201732691,"['부츠', '컷', '레깅스', '레깅스', '팬츠', '편안한', '레깅스', '골지', '레깅스', '레깅스', '바지', '부츠', '레깅스', '레깅스', '부츠', '컷', '플레어', '레깅스', '프릴', '레깅스', '허리', '편안한']",22
102,2248190201,"['쫀득쫀득', '날씬', '깔끔한', '스타일', '데', '일리', '스타일', '편안', '한코', '디', '캐', '주얼', '심플', '스타일', '시크', '깔끔하고', '멋', '스키']",18
103,2067094912,[],0
104,2542242121,"['봄', '레깅스', '부', '레깅스', '레깅스', '코디', '너', '레깅스', '짱', '레깅스', '편한', '레깅스', '데', '일리', '웨어', '홈웨어', '등원']",17
105,2449522689,[],0
106,2219924896,"['데', '일리', '레깅스', '겨울', '레깅스', '핏', '예쁜', '바지', '늘씬', '멋', '캐', '쥬얼', '스키', '스키', '레깅스', '일상패션', '시크', '스타', '일리', '쉬']",20
107,2234715222,"['발랄', '멋', '모던', '스타일', '여친', '코디', '모더니즘', '펑크', '내츄럴', '섹시']",10
108,1002584663,"['캐', '쥬얼', '클로슈', '융기', '모', '레깅스', '융', '레깅스', '기모', '레깅스', '스판', '레깅스', '겨울', '레깅스', '부', '레깅스', '밍크', '레깅스', '레깅스', '팬츠']",20
109,2144694493,"['트레이닝', '팬츠', '레깅스', '팬츠', '편한', '레깅스', '슬림', '레깅스', '핏좋은추리닝', '날씬', '여성', '의류', '쇼핑몰', '저렴', '쇼핑몰', '여성', '의류', '쇼핑몰', '순위']",19
110,1001884295,"['레이어', '드', '페미닌', '어반캐', '주얼', '스포', '티', '이지', '캐', '주얼']",10
111,2477022391,"['여자', '트레이닝', '바지', '여성', '트레이닝', '바지', '부츠', '컷', '바지', '부츠', '컷', '팬츠', '나팔', '바지', '여자', '나팔', '바지', '여성', '나팔', '바지', '나팔', '레깅스', '여자', '나팔', '레깅스', '배색', '레깅스']",27
112,1002682116,"['시', '보리', '레깅스', '레깅스', '추천', '레깅스', '코디', '레깅스', '팬츠', '쫀쫀', '레깅스', '레깅스', '바지', '겨울', '레깅스', '예쁜', '레깅스']",17
113,1001884731,"['깔끔한', '캐', '주얼', '스포', '티', '이지', '캐', '주얼', '일상패션']",9
114,2158531385,"['데일', '리코', '디', '매칭', '좋', '템', '슬림', '편안하게', '입', '데', '일리', '레깅스', '삥줄', '레깅스', '줄', '레깅스', '배색', '레깅스', '쫀쫀', '신축', '대여']",21
115,1002336718,"['세련된', '유니크', '스타', '일리', '쉬', '다양한', '연출', '꾸러기', '패션']",9
116,1002351426,"['귀여운', '놈', '코어', '데이트', '그런', '룩', '다양한', '연출']",8
